runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
300.06,52204,104409,0,33772678,59996163,0,1,-1,2684,2773,2684,2147483647,13.1728,201.939,283.158,0.119499,296.991,0,0,0.116155,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-1.scen,4650,30,86
300.044,49259,98519,0,34891814,56420565,0,1,-1,2509,2562,2509,2147483647,11.2096,202.523,286.036,0.115969,297.771,0,0,0.116924,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-2.scen,15111,34,62
300.055,51875,103751,0,40975009,67254532,0,1,-1,2455,2514,2455,2147483647,12.8013,185.129,284.108,0.100567,297.507,0,0,0.114419,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-3.scen,5468,53,88
300.035,41395,82791,0,46908451,72001052,0,1,-1,2413,2470,2413,2147483647,10.8266,173.446,286.483,0.113899,297.81,0,0,0.116926,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-4.scen,4895,75,89
300.049,20833,41667,0,80285908,102922428,0,1,-1,2682,2745,2682,2147483647,5.59806,93.7613,292.819,0.120167,298.719,0,0,0.117663,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-5.scen,2230,26,100
300.051,48352,96705,0,32491049,57136331,0,1,-1,2594,2663,2594,2147483647,12.3101,204.797,284.67,0.116788,297.494,0,0,0.117159,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-6.scen,1837,30,48
300.04,40634,81269,0,58714385,87971880,0,1,-1,2483,2552,2483,2147483647,10.2356,147.99,287.112,0.11113,297.901,0,0,0.117861,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-7.scen,4150,1,29
300.057,43426,86853,0,38098339,63964458,0,1,-1,2580,2637,2580,2147483647,12.017,184.133,284.684,0.106958,297.384,0,0,0.116902,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-8.scen,4043,61,87
300.043,46960,93921,0,33445530,58601675,0,1,-1,2577,2658,2577,2147483647,13.4237,193.142,282.88,0.247572,297.025,0,0,0.235149,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-9.scen,1336,95,108
300.055,60595,121082,0,13585045,32351650,0,1,-1,2330,2386,2330,2147483647,16.7127,242.958,279.524,0.117782,296.976,0,0,0.123819,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-10.scen,7798,66,109
300.045,40867,81735,0,26714675,45510972,0,1,-1,2562,2625,2562,2147483647,12.0145,203.448,285.069,0.126114,297.649,0,0,0.12866,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-11.scen,5351,26,97
300.037,34788,69577,0,47033599,70750872,0,1,-1,2654,2725,2654,2147483647,9.8953,164.812,287.37,0.136671,297.807,0,0,0.121508,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-12.scen,2973,40,67
0.503947,57,115,0,58674,102145,0,1,2936,2677,2736,2677,2147483647,0.019375,0.324776,0.351071,0.124505,0.367119,0,0,0.124308,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-13.scen,2,8,48
300.037,31563,63127,0,66249866,85982064,0,1,-1,2562,2634,2562,2147483647,8.59619,132.606,289.349,0.11749,298.354,0,0,0.124581,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-14.scen,7277,58,78
300.042,39897,79795,0,33791423,54407643,0,1,-1,2495,2569,2495,2147483647,12.4004,184.682,284.437,0.109865,297.504,0,0,0.121673,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-15.scen,1299,13,88
300.046,41886,83773,0,50625560,76738568,0,1,-1,2402,2475,2401,2147483647,11.0231,157.411,286.353,0.110117,297.843,0,0,0.121067,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-16.scen,9514,5,92
300.033,38583,77167,0,55981555,81990521,0,1,-1,2413,2475,2413,2147483647,10.8901,142.584,286.335,0.108694,297.758,0,0,0.121501,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-17.scen,910,71,109
300.047,48586,97173,0,29362882,53875599,0,1,-1,2485,2548,2484,2147483647,12.8908,208.273,283.829,0.130937,297.328,0,0,0.123756,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-18.scen,2892,12,93
300.046,44756,89513,0,30825357,53269129,0,1,-1,2612,2678,2612,2147483647,10.7049,207.577,286.71,0.122534,297.884,0,0,0.123114,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-19.scen,6495,16,24
300.044,46231,92463,0,40650351,67821378,0,1,-1,2554,2616,2554,2147483647,11.4748,184.018,285.598,0.111471,297.557,0,0,0.117129,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-20.scen,3592,10,17
300.063,62899,125799,0,17329467,34014725,0,1,-1,2505,2581,2505,2147483647,15.3187,237.992,281.148,0.104084,297.059,0,0,0.117061,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-21.scen,14773,17,74
300.039,29022,58045,0,66575177,93287285,0,1,-1,2529,2597,2529,2147483647,8.98534,116.345,288.598,0.116422,298.084,0,0,0.117106,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-22.scen,1582,75,103
300.041,47169,94339,0,33912595,57505117,0,1,-1,2589,2665,2589,2147483647,12.7207,196.881,284.023,0.150577,297.399,0,0,0.148719,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-23.scen,2848,62,98
300.032,33614,67229,0,57885608,83864052,0,1,-1,2369,2423,2369,2147483647,9.34367,142.427,288.368,0.123944,298.154,0,0,0.123835,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-24.scen,3368,48,100
300.04,39083,78167,0,35846107,57050133,0,1,-1,2581,2635,2577,2147483647,12.0109,183.684,285.035,0.119852,297.623,0,0,0.124976,ECBS_1.100000,../instances/scen-random/random-32-32-20-random-25.scen,6113,44,94
